"","Df","SumOfSqs","R2","F","Pr(>F)"
"Generation:Treatment",9,3.46822260998581,0.141279004275909,1.22305102543217,0.052
"Residual",44,13.8634894453086,0.564733064995152,NA,NA
"Total",59,24.5487475493004,1,NA,NA
