"","Df","SumOfSqs","R2","F","Pr(>F)"
"Generation",2,1.07650786601798,0.0639000488663489,1.5179410803949,0.002
"Treatment",3,1.58749114794438,0.094231324387599,1.49230557081551,0.001
"Generation:Treatment",6,2.48111992614189,0.147275918298855,1.16617629409693,0.007
"Residual",33,11.7016266432922,0.694592708447197,NA,NA
"Total",44,16.8467455833964,1,NA,NA
