"Treatment","Metric","p","p_adj_BH"
"ControlA","Observed richness",0.511394467212421,0.511394467212421
"ControlA","Shannon diversity",0.0296222127236502,0.0338539573984573
"ExpA","Observed richness",0.0217765173200661,0.0290353564267547
"ExpA","Shannon diversity",0.0183156388887342,0.0290353564267547
"ControlB","Observed richness",0.0196973193269223,0.0290353564267547
"ControlB","Shannon diversity",0.0196973193269223,0.0290353564267547
"ExpB","Observed richness",0.0194062259445469,0.0290353564267547
"ExpB","Shannon diversity",0.0155626916826009,0.0290353564267547
