"","Df","SumOfSqs","R2","F","Pr(>F)"
"Generation",3,5.83383216715652,0.237642761832987,6.17181353385143,0.001
"Treatment",3,1.38320332684943,0.0563451688959524,1.46333880854145,0.03
"Generation:Treatment",9,3.46822260998582,0.141279004275909,1.22305102543218,0.046
"Residual",44,13.8634894453086,0.564733064995152,NA,NA
"Total",59,24.5487475493004,1,NA,NA
