"","average","sd","ratio","ava","avb","cumsum","p","comparison"
"1355ee0e4102eda4798184a58389797f",0.295720148148148,0.159446743534424,1.85466408151699,3188.66666666667,55398.9333333333,0.331149131420572,0.01,"G1_G0"
"cdecb1c00aad4c9ee55bdae8d8c154d7",0.110166518518519,0.169218780641228,0.65103009312004,3821.93333333333,19353,0.454514235717624,0.01,"G1_G0"
"1a2518325e43623283d3ad6996e6a6dc",0.0687973580246914,0.0538058857986445,1.27862141852192,7607.33333333333,13974.6,0.531553914943313,0.01,"G1_G0"
"5f92ec0b039c9127715e033a44803b16",0.0623199259259259,0.0331184670244071,1.88172737222404,11227.4666666667,11.4,0.601340128259513,0.01,"G1_G0"
"f36c161e4341ca7c0fd5d7615f736706",0.0400375555555556,0.0612447061868428,0.653730878117215,7224.2,29.0666666666667,0.646174414423143,0.01,"G1_G0"
"cba990f8b3d42525af59136619c45353",0.0322561975308642,0.0289917521829353,1.11259910499133,5813.13333333333,11.4,0.682295090887585,0.49,"G1_G0"
"1342e1df4714070ba6c899351d5fbe98",0.0229940740740741,0.0259193744810684,0.887138464351022,4138.93333333333,0,0.708043987961839,0.89,"G1_G0"
"ad4cd5d588129069899b6d0c45e64102",0.0223827901234568,0.0168534602873246,1.32808276412475,4214.33333333333,378.266666666667,0.73310836573443,0.08,"G1_G0"
"0fdeaf3282ab2f5a5a768cd83c4355d4",0.021248987654321,0.0251819596597886,0.843817873644364,3864.6,55.9333333333333,0.7569031049477,0.01,"G1_G0"
"58c0a8cf76f6b0cb40a42ccf770f67b0",0.016178,0.0250733836730533,0.645226037736051,2908.26666666667,161.4,0.775019322870864,0.21,"G1_G0"
"dc37dab042e0f652bba8cacb048bbc87",0.0134608641975309,0.0202932370320732,0.663317743554472,2423,0.666666666666667,0.790092876414971,0.69,"G1_G0"
"a2623a81506363cd410718d6f0a784c5",0.0125676543209877,0.0190851743053086,0.658503512723587,2262.93333333333,2.26666666666667,0.804166208375782,0.01,"G1_G0"
"c3c6b35a7e7fd0a56aab3c29bd47737b",0.0122884691358025,0.0184278056364203,0.666843865094596,2237.46666666667,54.7333333333333,0.817926907152285,0.25,"G1_G0"
"0cb1a8f2800668e33b9ea3ba43e1fec6",0.0107348148148148,0.0107436684370791,0.999175921863544,1932.26666666667,0,0.829947814838649,0.33,"G1_G0"
"e17563b3df444656591db2ee65e212f1",0.0101279012345679,0.00843410355972483,1.20082723230142,1823.33333333333,0.933333333333333,0.841289097189354,0.96,"G1_G0"
"f1170c4937094648423f1d76f7e2d8df",0.00927259259259259,0.0146510061744031,0.632898005926228,1669.06666666667,0,0.851672599978334,0.78,"G1_G0"
"aa935103e3f612d4a45a649b5acab4e0",0.00902491358024691,0.00995122567265239,0.906914773830209,1624.46666666667,0.266666666666667,0.861778750377485,0.98,"G1_G0"
"341476ed2ddccd9b810f20810c2169b1",0.00879407407407407,0.0199414147384352,0.440995495526419,1582.93333333333,0,0.871626405363167,0.5,"G1_G0"
"a6684ce7c07660834ac05d6a898e43d5",0.0080300987654321,0.0105320628472624,0.762443111277043,1445.46666666667,0.733333333333333,0.880618556381779,0.57,"G1_G0"
"fc327e4ececc2f4066a4fc1054bbdcab",0.00689748148148148,0.0154767616527688,0.445666970664211,1242.06666666667,6.86666666666667,0.888342396018291,0.5,"G1_G0"
"9f872c9b2b6199958b38261da0c19fe1",0.00649444444444444,0.0217591606894368,0.298469437178119,1169,0,0.895614912450819,0.52,"G1_G0"
"840e9b2c8fd818543742cadaaabbacd8",0.00639767901234568,0.0151399983972018,0.422568011204552,1154.4,56.6666666666667,0.902779070393093,0.53,"G1_G0"
"27ca29a04c426a28399fb0ed50f16372",0.00614659259259259,0.0071619656793352,0.858227038189764,1106.66666666667,1.4,0.909662060311025,0.14,"G1_G0"
"f65f1bdf4c9a0c2a098c5550d734cc52",0.0057362962962963,0.0159747459876359,0.359085290040672,1032.53333333333,0,0.916085598064489,0.4,"G1_G0"
"3b09c48d62fb18cfddc9cf9353cc5c0d",0.00536839506172839,0.00751632920922847,0.714230964649225,967.066666666667,11.3333333333333,0.922097157888689,0.63,"G1_G0"
"6784ec90ade80686afc929fe409b8ac2",0.00423708641975309,0.00880149327109868,0.481405403520143,763.2,7.86666666666667,0.926841871755639,0.4,"G1_G0"
"7e51b4b16965ac6a7d65eea594ecfeba",0.00413185185185185,0.0143443266700408,0.288047807812516,743.733333333333,0,0.931468743345105,0.45,"G1_G0"
"e1a2c54f302520b1bca56089503d77e0",0.00359555555555556,0.00938760884894517,0.383010797894457,647.2,0,0.93549506724171,0.43,"G1_G0"
"e48f184a1738f2ab51d3dd37db99ee47",0.00358703703703704,0.0125195506610425,0.286514838603509,644.066666666667,4.8,0.939511852052034,0.3,"G1_G0"
"4888905151d87b45c37d8bfbc7c7baaa",0.00345464197530864,0.0035180201284796,0.981984709906038,636.2,156.666666666667,0.943380380106874,1,"G1_G0"
"7b4332d9b4fef3874246194bff33039e",0.00316703703703704,0.00756895535044314,0.418424589709281,570.066666666667,0,0.946926846489226,0.19,"G1_G0"
"e8820a8b0ccb14b286019c21e8bfcf00",0.00303592592592593,0.0112005995524837,0.271050305093064,546.466666666667,0,0.950326493891418,0.44,"G1_G0"
"efc1ec27585ebab02453b0b3ad210d4a",0.00284044444444444,0.0092585888267863,0.306790213669136,493.466666666667,27.2,0.953507240000591,0.4,"G1_G0"
"9389cc5e24fcb8fd40794cda2f4a20f0",0.00262972839506173,0.00827101352926849,0.317945120722624,473.333333333333,0.266666666666667,0.956452025059539,0.51,"G1_G0"
"5f9c632fdbb71b06c495aed0fa3795ea",0.0022241975308642,0.00417952021330833,0.532165755241944,400.933333333333,12,0.958942694312432,0.88,"G1_G0"
"6b5cefcaf2c763625299668325ee6e9f",0.00213679012345679,0.00267460589844245,0.798917748854567,384.466666666667,2.33333333333333,0.961335484245217,1,"G1_G0"
"0f79094cae6cd434ba058b9fdd88d61d",0.00193814814814815,0.00529428478019215,0.366083093111928,348.866666666667,0,0.963505833745726,0.44,"G1_G0"
"8f09d0e9a896102f0926d8ddf73e7eb7",0.00177560493827161,0.00651542155859272,0.272523415761162,317.066666666667,3.46666666666667,0.965494166420171,0.55,"G1_G0"
"0aa415e2ba6a661bead2121028d9370a",0.00172627160493827,0.00220313111614416,0.783553730546701,317.6,29.0666666666667,0.967427255342759,0.99,"G1_G0"
"fd4b547fa11d2644e71220f8141dbed2",0.00169582716049383,0.00483108886809491,0.351023797490722,302.533333333333,11.9333333333333,0.969326252400463,0.65,"G1_G0"
"14569551c45f41dc37a8a789b6c34e93",0.00144802469135802,0.00486175910584056,0.297839662524306,260.6,0.133333333333333,0.97094775882071,0.5,"G1_G0"
"04e58144a1e0bf97a313b3b84b602376",0.00140074074074074,0.00525277777777778,0.266666666666667,252.133333333333,0,0.972516316399713,0.01,"G1_G0"
"a921f7d48c056d2365fce6b17bdfbb71",0.0011462962962963,0.00152758025418654,0.750400048151133,206.333333333333,0,0.973799945618913,0.75,"G1_G0"
"9b1614e795daf36d080a0409abbb7975",0.00111814814814815,0.00137976187622974,0.810392117227895,201.266666666667,0,0.975052054379096,0.87,"G1_G0"
"4afd12be8b23a2d2b1932744ec60fdcd",0.00109185185185185,0.00132360642664772,0.824906731993718,196.533333333333,0,0.97627471639467,0.98,"G1_G0"
"7496671ed8f70f49b6f48d2368db5626",0.00105286419753086,0.002477267741131,0.425010256279435,75.3333333333333,124.866666666667,0.977453719809552,0.61,"G1_G0"
"076a3cdae4e19b9ebd3b1e867d50d50d",0.000922222222222222,0.00345833333333333,0.266666666666667,166,0,0.978486429585258,0.01,"G1_G0"
"98efba6e4e3e6a0f52c2727c91619f72",0.00088437037037037,0.00250485271307467,0.35306282311698,159,0.4,0.979476752638442,0.37,"G1_G0"
"7f8923e6de6b6a07954cfbfc8ffa0e9b",0.00077962962962963,0.00119646723331147,0.651609678830772,140.333333333333,0,0.980349786404651,0.97,"G1_G0"
"7728dcc32fd62163bbcd131499f3644d",0.000720740740740741,0.00122627529629067,0.587747908582104,129.733333333333,0,0.981156876052652,0.88,"G1_G0"
"7d952f43664b4082d9801903c3653320",0.000577407407407407,0.000754134510700364,0.765655727479134,103.933333333333,0,0.981803460205393,0.46,"G1_G0"
"8ba690413c85a2d1ca07752c7530803c",0.000554074074074074,0.00073969850619732,0.749053931340874,99.7333333333333,0,0.98242391555658,0.84,"G1_G0"
"835c646a619cfb59f032918f6d6724b1",0.000511481481481481,0.000789168119317257,0.648127400184368,92.0666666666667,0,0.982996675476358,0.98,"G1_G0"
"59470531649449e66a30d968901a4763",0.000481851851851852,0.00100832855064675,0.477871871765196,86.7333333333333,0,0.983536255965592,0.01,"G1_G0"
"0dcefd65571849dd41395e1d88748cee",0.000451111111111111,0.000888785491258099,0.507559040452553,81.2,0,0.984041412795636,0.76,"G1_G0"
"8550561c2fdadd7f67c40b816b48c1ef",0.000437037037037037,0.00163888888888889,0.266666666666667,78.6666666666667,0,0.984530809396171,0.23,"G1_G0"
"f6fae744fd0df8cf57216d09b74c0c54",0.000432222222222222,0.000930543413803754,0.46448367245483,77.8,0,0.985014814339243,0.98,"G1_G0"
"b1ada5450306be8190fe085fc59a5954",0.000423283950617284,0.00158592653409178,0.266900100047629,76.1333333333333,0.0666666666666667,0.9854888101541,0.27,"G1_G0"
"1120c96058d65a55df61529e403b6a47",0.000415925925925926,0.00081669619183212,0.509278640069163,74.8666666666667,0,0.985954566410372,0.76,"G1_G0"
"c7913edfda262b47b71f8cb7246a75f3",0.000405679012345679,0.000957662728970559,0.423613658622555,73,0.0666666666666667,0.986408848113581,0.55,"G1_G0"
"566c5e9da9c7d5cef504e472c2abbd60",0.000400740740740741,0.000851646171540223,0.470548396895851,72.1333333333333,0,0.986857599911699,0.91,"G1_G0"
"9d73bb75b2b0d4355dd3834662ef61b4",0.000377407407407407,0.00073428607242355,0.513978708818151,67.9333333333333,0,0.987280222908262,0.45,"G1_G0"
