"taxon","OrderName","oat_arrow","wheat_arrow","oat_concordant","wheat_concordant"
"835c646a619cfb59f032918f6d6724b1","Thermoplasmatales","","",FALSE,FALSE
"6d04abd9e6bdf4989949634a5735a002","Micrarchaeales","","",FALSE,FALSE
"028fdac2f188769b60fd4cf260372fcb","Peribacterales","","",FALSE,FALSE
"0dcefd65571849dd41395e1d88748cee","Verrucomicrobiales","","",FALSE,FALSE
"f7f640f0a3598e296a8b9c160258f919","Methylacidiphilales","","",FALSE,FALSE
"050d101aa8c55d897943814d09a3a7a7","UBA2199","","",FALSE,FALSE
"341476ed2ddccd9b810f20810c2169b1","Acidobacteriales","","",FALSE,FALSE
"f0fe173a356d624ed9d087e5e114d9d8","Anaerolineales","","",FALSE,FALSE
"2e57b76efd5a2048c37546212f61eed8","Limnocylindrales","","",FALSE,FALSE
"1991586b6583c5d8e5e5db978e7249c3","UBA7540","","",FALSE,FALSE
"efc1ec27585ebab02453b0b3ad210d4a","Cytophagales","","",FALSE,FALSE
"4e75934a4bf4dfd06f7ef1ec24c6c72c","AKYH767","","",FALSE,FALSE
"609ec913c0ebb5d9e633a384d60b8fc1","Chitinophagales","","",FALSE,FALSE
"e48f184a1738f2ab51d3dd37db99ee47","Sphingobacteriales","","",FALSE,FALSE
"cba990f8b3d42525af59136619c45353","Bacteroidales","","",FALSE,FALSE
"fef04cf977569f3ccadd9511eee52ad5","Baltobacterales","","",FALSE,FALSE
"0f79094cae6cd434ba058b9fdd88d61d","Fusobacteriales","","",FALSE,FALSE
"6784ec90ade80686afc929fe409b8ac2","Fusobacteriales","","",FALSE,FALSE
"112b8e495108a34b906472ab88df2e8c","Deinococcales","","",FALSE,FALSE
"0c1588fa28cc4e51970a81953867347f","Pirellulales","","",FALSE,FALSE
"f6fae744fd0df8cf57216d09b74c0c54","Isosphaerales","","",FALSE,FALSE
"29bf965f923ca78447764713e8f2c56a","Chitinivibrionales","","",FALSE,FALSE
"a2623a81506363cd410718d6f0a784c5","Veillonellales","","",FALSE,FALSE
"ad4cd5d588129069899b6d0c45e64102","Actinomycetales","","",FALSE,FALSE
"bbde64bb39e1bcd06e22178c3b164a75","Propionibacteriales","","",FALSE,FALSE
"14569551c45f41dc37a8a789b6c34e93","Streptosporangiales","","",FALSE,FALSE
"cdecb1c00aad4c9ee55bdae8d8c154d7","Mycobacteriales","","",FALSE,FALSE
"7e51b4b16965ac6a7d65eea594ecfeba","Ktedonobacterales","","",FALSE,FALSE
"01ed22048e8df4236768e3d7bea94c41","Coriobacteriales","","",FALSE,FALSE
"a6684ce7c07660834ac05d6a898e43d5","Erysipelotrichales","","",FALSE,FALSE
"990d16ab4495e7a080cc7ea6d3b6602e","UBA5066","","",FALSE,FALSE
"7728dcc32fd62163bbcd131499f3644d","Desulfobulbales","","",FALSE,FALSE
"6c0daa89686e1183f155306637ce7ac4","Geobacterales","","",FALSE,FALSE
"61c080a2b30136df6c80642b1926c78e","SZUA-149","","",FALSE,FALSE
"f678158684fc17d8c7b44b7e124491e5","UBA796","","",FALSE,FALSE
"7f9ee874b3f3cfa66c521ee9b16a71e0","Desulfomonilales","","",FALSE,FALSE
"fa5a3856d765788bbb43e6c6e8f7ee9d","UBA4151","","",FALSE,FALSE
"707719bd2799b834ba0e74112fa489a0","Myxococcales","","",FALSE,FALSE
"cd96dc701c49df0b227c915d9ce9bc75","Polyangiales","","",FALSE,FALSE
"30688358cee6df00f97a09297ddf5434","Micropepsales","","",FALSE,FALSE
"fdb513a85a39fafe95360eec69cadc50","Rhodobacterales","","",FALSE,FALSE
"202584e0410e749e15eaa0b3dc36620f","Rhizobiales_A","","",FALSE,FALSE
"3206015154602ad2f550885ff96e466e","Rhizobiales_A","","",FALSE,FALSE
"e26286d6540544a2832f60dfdf859586","Rhizobiales_A","","",FALSE,FALSE
"58c0a8cf76f6b0cb40a42ccf770f67b0","Sphingomonadales","","",FALSE,FALSE
"f7228aa155bf10d455d8e02ad5f5980c","Caulobacterales","","",FALSE,FALSE
"0aa415e2ba6a661bead2121028d9370a","Rhizobiales_A","","",FALSE,FALSE
"fd4b547fa11d2644e71220f8141dbed2","Unclassified Alphaproteobacteria","","",FALSE,FALSE
"3b09c48d62fb18cfddc9cf9353cc5c0d","Acetobacterales","","",FALSE,FALSE
"ae16f3705ee4d4b892616eb6d9a1c133","Reyranellales","","",FALSE,FALSE
"c7f49d329f25df14c44c5de7bfb32112","RF32","","",FALSE,FALSE
"56608e86a31ec3abf3104bac70d18145","Chlamydiales","","",FALSE,FALSE
"f1182280951cffb95bcbd92043756d94","Unclassified Actinomycetia","","",FALSE,FALSE
"f1170c4937094648423f1d76f7e2d8df","Christensenellales","","",FALSE,FALSE
"e17563b3df444656591db2ee65e212f1","Lachnospirales","","",FALSE,FALSE
"9389cc5e24fcb8fd40794cda2f4a20f0","Tissierellales","","",FALSE,FALSE
"6b5cefcaf2c763625299668325ee6e9f","Clostridiales","","",FALSE,FALSE
"bed31d2068628f5ea4b04ff895c03c91","Paenibacillales","","",FALSE,FALSE
"e3e3014e2d09d44133f5a2cb53364b07","Alicyclobacillales","","",FALSE,FALSE
"27ca29a04c426a28399fb0ed50f16372","Peptostreptococcales","","",FALSE,FALSE
"566c5e9da9c7d5cef504e472c2abbd60","Desulfitobacteriales","","",FALSE,FALSE
"aa935103e3f612d4a45a649b5acab4e0","Oscillospirales","","",FALSE,FALSE
"9f872c9b2b6199958b38261da0c19fe1","Unclassified Clostridia","","",FALSE,FALSE
"c2a6b8375554b9e6a5eb75880d6e4504","Bryobacterales","","",FALSE,FALSE
"b35e61c24debef5636f49b6fed9ad82d","Gastranaerophilales","","",FALSE,FALSE
"ec3ee7dacd24bb66173f5d85c5d6e2e4","Solirubrobacterales","","",FALSE,FALSE
"68733d76fa8687dccbdd9d9e8f387018","UBA5794","","",FALSE,FALSE
"cf12592db84b8fe64eff91c601ee388a","Unclassified Actinobacteriota","","",FALSE,FALSE
"9b1614e795daf36d080a0409abbb7975","Acidimicrobiales","","",FALSE,FALSE
"7d952f43664b4082d9801903c3653320","Leptospirillales","","",FALSE,FALSE
"82080588026ce46c2e5cf3ff5e56fc66","Bdellovibrionales","","",FALSE,FALSE
"fc327e4ececc2f4066a4fc1054bbdcab","Xanthomonadales","","",FALSE,FALSE
"1120c96058d65a55df61529e403b6a47","Xanthomonadales","","",FALSE,FALSE
"4888905151d87b45c37d8bfbc7c7baaa","Unclassified Gammaproteobacteria","","",FALSE,FALSE
"a921f7d48c056d2365fce6b17bdfbb71","Xanthomonadales","","",FALSE,FALSE
"c4d6b95f55599a9777faa913ffa99aad","Bacillales_H","","",FALSE,FALSE
"e1a2c54f302520b1bca56089503d77e0","Unclassified Bacilli","","",FALSE,FALSE
"59adeb7ec478fa7cb6a05ff40b9a34d2","Bacillales_A","","",FALSE,FALSE
"0cb1a8f2800668e33b9ea3ba43e1fec6","Bacillales_B","","",FALSE,FALSE
"e8820a8b0ccb14b286019c21e8bfcf00","Bacillales_B","","",FALSE,FALSE
"3c636322344866b001a6bb30722d7242","Exiguobacterales","","",FALSE,FALSE
"1a2518325e43623283d3ad6996e6a6dc","Lactobacillales","","",FALSE,FALSE
"c3c6b35a7e7fd0a56aab3c29bd47737b","Staphylococcales","","",FALSE,FALSE
"4afd12be8b23a2d2b1932744ec60fdcd","Haloplasmatales_A","","",FALSE,FALSE
"1355ee0e4102eda4798184a58389797f","Enterobacterales_A","","",FALSE,FALSE
"1342e1df4714070ba6c899351d5fbe98","Desulfovibrionales","","",FALSE,FALSE
"860584d8b227992f389bc4f1f068c20e","Aneurinibacillales","","",FALSE,FALSE
"9d73bb75b2b0d4355dd3834662ef61b4","Burkholderiales","","",FALSE,FALSE
"5f9c632fdbb71b06c495aed0fa3795ea","Burkholderiales","","",FALSE,FALSE
"f65f1bdf4c9a0c2a098c5550d734cc52","Burkholderiales","","",FALSE,FALSE
"840e9b2c8fd818543742cadaaabbacd8","Burkholderiales","","",FALSE,FALSE
